,Dates,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
156,2020-07-04,244814.0,409083.0,19268.0,220396.00257667308,364422.52221925475,507943.4752040727
157,2020-07-05,253287.0,424433.0,19693.0,208459.51606996485,359962.3848525419,524340.0990774932
158,2020-07-06,259571.0,439934.0,20159.0,197346.1882848564,354909.4232986403,540506.3884165032
159,2020-07-07,264944.0,456831.0,20642.0,186993.2141607797,349342.991882032,556425.7939571885
160,2020-07-08,269789.0,476378.0,21129.0,177342.19473584977,343336.48540458817,572083.3198595621
161,2020-07-09,276685.0,495513.0,21604.0,168339.02022894993,336957.81344034267,587465.1663307074
162,2020-07-10,283407.0,515386.0,22123.0,159933.8700397319,330269.40033549146,602558.7296247765
163,2020-07-11,292231.0,534618.0,22673.0,152081.2127486154,323328.18520839233,617352.6020429923
164,2020-07-12,301609.0,553471.0,23174.0,144739.8061167885,316185.6219495657,631836.5719336458
165,2020-07-13,311565.0,571460.0,23727.0,137872.6970862076,308887.6792216939,646001.6236920985
166,2020-07-14,319840.0,592032.0,24309.0,131447.22177959725,301474.84045962145,659839.9377607814
167,2020-07-15,331175.0,612768.0,24914.0,125435.00550045024,293982.1038703553,673344.8906291943
168,2020-07-16,342473.0,635757.0,25602.0,119811.96273302766,286438.9824330643,686511.0548339081
169,2020-07-17,359060.0,653751.0,26273.0,114558.29714235874,278869.50389907963,699334.1989585615
170,2020-07-18,373542.0,677423.0,26816.0,109658.50157424118,271292.2107918946,711811.2876338642
171,2020-07-19,390622.0,700087.0,27497.0,105101.35805524065,263720.16040716483,723940.4815375946
172,2020-07-20,402678.0,724578.0,28082.0,100879.93779269133,256160.9248127079,735721.1373946007
173,2020-07-21,411296.0,753050.0,28732.0,96991.60117469543,248616.59084850363,747153.8079768006
174,2020-07-22,426330.0,782607.0,29861.0,93403.6521918495,241118.0447042425,758240.3031039081
175,2020-07-23,440298.0,817209.0,30601.0,90052.53096098207,233723.6838351775,768985.7852038406
176,2020-07-24,456234.0,849432.0,31358.0,86920.59407150821,226444.2233725716,779397.1825559203
177,2020-07-25,468002.0,885573.0,32060.0,83991.79532094984,219288.777517386,789481.4271616642
178,2020-07-26,485277.0,917568.0,32771.0,81251.03002637782,212265.52518175275,799245.4447918695
179,2020-07-27,495499.0,951166.0,33408.0,78684.13502441185,205381.70998897505,808696.1549866131
180,2020-07-28,509447.0,988029.0,34193.0,76277.88867122057,198643.6402735273,817840.4710552522
181,2020-07-29,527273.0,1019735.0,34955.0,74020.01084252147,192056.6890810548,826685.3000764239
182,2020-07-30,543680.0,1055348.0,35718.0,71899.16293358093,185625.29416837398,835237.5428980453
183,2020-07-31,565103.0,1094374.0,36511.0,69904.94785921418,179352.95800347233,843504.0941373134
184,2020-08-01,567730.0,1145629.0,37364.0,68027.91005378545,173242.24776550842,851491.8421807062
185,2020-08-02,579357.0,1186203.0,38135.0,66259.53547120771,167294.79534481195,859207.6691839804
186,2020-08-03,586298.0,1230509.0,38938.0,64592.25158494293,161511.2973428836,866658.4510721738
187,2020-08-04,586244.0,1282215.0,39795.0,63019.42738800187,155891.51507239506,873851.0575396031
188,2020-08-05,595501.0,1328336.0,40699.0,61535.373392944275,150434.2745571893,880792.3520498666
189,2020-08-06,,,,60135.34163187871,145137.46653228014,887489.1918358413
190,2020-08-07,,,,58815.52565646265,139998.04644385268,893948.4278996849
191,2020-08-08,,,,57573.06053790242,135012.03444926292,900176.9050128348
192,2020-08-09,,,,56406.01505119771,130174.52187310705,906181.4630756952
193,2020-08-10,,,,55306.71621676597,125485.3203650878,911969.9634181464
194,2020-08-11,,,,54266.814196639054,120945.23187993745,917549.9539234235
195,2020-08-12,,,,53282.94764857157,116551.12853724795,922927.9238141804
196,2020-08-13,,,,52351.895028107385,112299.86081069786,928110.2441611949
197,2020-08-14,,,,51470.57458857964,108188.25752805203,933103.1678833684
198,2020-08-15,,,,50636.04438111068,104213.1258711618,937912.8297477276
199,2020-08-16,,,,49845.50225461216,100371.25137596486,942545.2463694231
200,2020-08-17,,,,49096.28585578493,96659.39793248537,947006.3162117299
201,2020-08-18,,,,48385.872629119134,93074.30778483387,951301.8195860472
202,2020-08-19,,,,47711.87981689414,89612.70153120736,955437.4186518986
203,2020-08-20,,,,47072.064459178604,86271.27812388923,959418.6574169324
204,2020-08-21,,,,46464.323393830404,83046.71486924932,963250.9617369205
205,2020-08-22,,,,45886.69325649669,79935.66742774383,966939.6393157595
206,2020-08-23,,,,45337.350480613844,76934.76981391542,970489.8797054708
207,2020-08-24,,,,44814.61129740753,74040.63439639317,973906.7543061994
208,2020-08-25,,,,44316.931735892635,71249.85189789259,977195.2163662148
